name,price,mileage,transmission,range_km,fuel,city,road_accident,link
Volkswagen Touran 2009,7 300 $,244 тис. км,Ручна / Механіка,,"Газ/Бензин, 2 л",Стрий,Не був у ДТП,https://auto.ria.com/uk/auto_volkswagen_touran_40039107.html
BMW X7 2023,119 000 $,55 тис. км,Автомат,,"Дизель, 2.99 л",Одеса,Не був у ДТП,https://auto.ria.com/uk/auto_bmw_x7_39898396.html
Mercedes-Benz C-Class 2013,12 200 $,130 тис. км,Автомат,,"Бензин, 1.8 л",Київ,Був у ДТП,https://auto.ria.com/uk/auto_mercedes-benz_c-class_39989826.html
BMW X3 2016,16 000 $,154 тис. км,Автомат,,"Бензин, 3 л",Рівне (Рівненська),Був у ДТП,https://auto.ria.com/uk/auto_bmw_x3_39843560.html
Land Rover Range Rover Evoque 2016,20 900 $,99 тис. км,Автомат,,"Бензин, 2 л",Чернівці (Чернівецька),Був у ДТП,https://auto.ria.com/uk/auto_land-rover_range-rover-evoque_39918313.html
BMW X7 2022,102 500 $,73 тис. км,Автомат,,"Дизель, 2.99 л",Київ,Не був у ДТП,https://auto.ria.com/uk/auto_bmw_x7_39619425.html
Mercedes-Benz C-Class 2018,31 500 $,79 тис. км,Автомат,,"Бензин, 3 л",Київ,Був у ДТП,https://auto.ria.com/uk/auto_mercedes-benz_c-class_39441906.html
Mercedes-Benz GLE-Class 2020,72 900 $,129 тис. км,Автомат,,"Дизель, 2.93 л",Одеса,Не був у ДТП,https://auto.ria.com/uk/auto_mercedes-benz_gle-class_40031246.html
BMW X3 2014,25 000 $,125 тис. км,Автомат,,"Бензин, 2.98 л",Вишгород,Був у ДТП,https://auto.ria.com/uk/auto_bmw_x3_40029640.html
Новий GWM Haval H6 2025,30 651 $,Без пробігу,Роботизована,,"Бензин, 2 л",Київ,Не був у ДТП,https://auto.ria.com/uk/newauto/auto-gwm-haval-h6-2039511.html
BMW X6 2022,65 000 $,62 тис. км,Автомат,,"Бензин, 3 л",Харків,Був у ДТП,https://auto.ria.com/uk/auto_bmw_x6_40004571.html
Van Hool TDX27 Astromega 2016,283 593 $,518 тис. км,Автомат,,"Дизель, 12 л",Ізмаїл,Не був у ДТП,https://auto.ria.com/uk/auto_van-hool_tdx27-astromega_39529211.html
Volkswagen Touran 2021,23 100 $,216 тис. км,Автомат,,"Дизель, 1.97 л",Свалява,Не був у ДТП,https://auto.ria.com/uk/auto_volkswagen_touran_39948248.html
BMW 3 Series 2015,14 999 $,190 тис. км,Автомат,,"Бензин, 2 л",Запоріжжя,Не був у ДТП,https://auto.ria.com/uk/auto_bmw_3-series_39835163.html
Lexus RX 2016,29 000 $,112 тис. км,Автомат,,"Бензин, 2 л",Київ,Не був у ДТП,https://auto.ria.com/uk/auto_lexus_rx_39947009.html
BMW X7 2022,63 500 $,142 тис. км,Автомат,,"Бензин, 3 л",Вінниця,Був у ДТП,https://auto.ria.com/uk/auto_bmw_x7_40034642.html
BMW X3 2012,13 500 $,264 тис. км,Автомат,,"Бензин, 3 л",Шпола,Не був у ДТП,https://auto.ria.com/uk/auto_bmw_x3_38662700.html
Lexus RX 2019,32 274 $,200 тис. км,Автомат,,"Бензин, 3.46 л",Київ,Не був у ДТП,https://auto.ria.com/uk/auto_lexus_rx_39712508.html
BMW X7 2020,62 820 $,140 тис. км,Автомат,,"Дизель, 3 л",Київ,Не був у ДТП,https://auto.ria.com/uk/auto_bmw_x7_39441337.html
Land Rover Range Rover Evoque 2017,18 500 $,134 тис. км,Автомат,,"Дизель, 2 л",Київ,Не був у ДТП,https://auto.ria.com/uk/auto_land-rover_range-rover-evoque_39936391.html
Volkswagen Touran 2013,12 700 $,206 тис. км,Автомат,,"Дизель, 1.97 л",Житомир,Не був у ДТП,https://auto.ria.com/uk/auto_volkswagen_touran_39989664.html
Mercedes-Benz GLE-Class 2021,72 300 $,90 тис. км,Автомат,,"Дизель, 2.93 л",Київ,Не був у ДТП,https://auto.ria.com/uk/auto_mercedes-benz_gle-class_39965964.html
Новий Nissan Qashqai 2026,35 615 $,Без пробігу,Варіатор,,"Гібрид (MHEV), 1.3 л",Київ,Не був у ДТП,https://auto.ria.com/uk/newauto/auto-nissan-qashqai-2061625.html
Ford Edge 2019,21 700 $,123 тис. км,Автомат,,"Бензин, 2 л",Суми,Був у ДТП,https://auto.ria.com/uk/auto_ford_edge_39989246.html
Mercedes-Benz Sprinter 2015,38 750 $,364 тис. км,Автомат,,"Дизель, 2.14 л",Миколаїв (Миколаївська),Не був у ДТП,https://auto.ria.com/uk/auto_mercedes-benz_sprinter_39815942.html
BMW X3 2015,21 700 $,238 тис. км,Автомат,,"Дизель, 2 л",Житомир,Не був у ДТП,https://auto.ria.com/uk/auto_bmw_x3_38941547.html
Toyota Land Cruiser 2008,25 550 $,290 тис. км,Автомат,,"Дизель, 4.46 л",Київ,Не був у ДТП,https://auto.ria.com/uk/auto_toyota_land-cruiser_40037152.html
Audi Q8 2019,57 633 $,78 тис. км,Автомат,,"Дизель, 2.97 л",Київ,Не був у ДТП,https://auto.ria.com/uk/auto_audi_q8_39212305.html
Audi Q7 2018,24 800 $,131 тис. км,Автомат,,"Бензин, 2 л",Луцьк,Був у ДТП,https://auto.ria.com/uk/auto_audi_q7_40032327.html
Mercedes-Benz Intouro 2008,40 500 $,396 тис. км,Ручна / Механіка,,Не вказано,Іршава,Не був у ДТП,https://auto.ria.com/uk/auto_mercedes-benz_intouro_40029632.html
Mercedes-Benz Sprinter 2007,14 000 $,1000 тис. км,Ручна / Механіка,,"Дизель, 3 л",Чернівці (Чернівецька),Не був у ДТП,https://auto.ria.com/uk/auto_mercedes-benz_sprinter_39739180.html
BMW X7 2023,110 000 $,92 тис. км,Не вказано,,"Дизель, 2.99 л",Київ,Не був у ДТП,https://auto.ria.com/uk/auto_bmw_x7_40014852.html
Land Rover Range Rover Evoque 2019,26 500 $,85 тис. км,Автомат,,"Бензин, 2 л",Київ,Не був у ДТП,https://auto.ria.com/uk/auto_land-rover_range-rover-evoque_40002238.html
Volkswagen Golf 2015,10 700 $,280 тис. км,Ручна / Механіка,,"Дизель, 1.6 л",Сміла,Не був у ДТП,https://auto.ria.com/uk/auto_volkswagen_golf_39998311.html
Toyota Camry 2020,23 999 $,82 тис. км,Автомат,,"Бензин, 2.49 л",Київ,Не був у ДТП,https://auto.ria.com/uk/auto_toyota_camry_39913366.html
Ford Edge 2019,17 000 $,43 тис. км,Автомат,,"Бензин, 2 л",Київ,Був у ДТП,https://auto.ria.com/uk/auto_ford_edge_39921554.html
Land Rover Range Rover Sport 2020,58 000 $,72 тис. км,Автомат,,"Бензин, 3 л",Івано-Франківськ,Був у ДТП,https://auto.ria.com/uk/auto_land-rover_range-rover-sport_40039425.html
Toyota Land Cruiser 2022,102 000 $,58 тис. км,Автомат,,"Дизель, 3.35 л",Київ,Не був у ДТП,https://auto.ria.com/uk/auto_toyota_land-cruiser_40035398.html
BMW X7 2020,44 444 $,162 тис. км,Автомат,,"Бензин, 3 л",Львів (Львівська),Не був у ДТП,https://auto.ria.com/uk/auto_bmw_x7_39847079.html
